rank,watchers_per_5min_avg,content_name
1,154.0,Khejdi
2,64.0,Naate
3,83.0,Saanwari
4,18.0,(none)
5,23.0,साँवरी
6,23.0,नाते
7,24.0,Sakhe Ga Sajani
8,12.0,खेजड़ी
9,13.0,Doojvar 2
10,10.0,Pittardosh
11,10.0,Episode 1
12,4.0,ILU ILU 1998
13,8.0,Bhikhaari Bana C.M
14,4.0,Episode 2
15,5.0,Contract Marriage
16,4.0,Saaya
17,8.0,दूजवर 2
18,3.0,Madhumati
19,5.0,Jholachhap
20,5.0,Punarjanam - Janam ke Phera
21,2.0,Killer Cab
22,4.0,पित्तरदोष
23,3.0,12vi Aala Pyar
24,5.0,Maut
25,3.0,Punarjanam
26,6.0,Episode 3
27,6.0,Episode 4
28,5.0,Kachi Umar
29,4.0,Kayantar
30,1.0,मौत
31,1.0,Kunwari Maa
32,1.0,Nikammon Ki Entry
33,1.0,Bahishkar
34,5.0,Episode 5
35,0.0,Mere Bholenaath
36,0.0,पीपल
37,1.0,Husband On Sale
38,3.0,College Kaand
39,2.0,Peepal
40,2.0,Chakka Jaam
41,1.0,Bhomiya
42,3.0,Episode 6
43,0.0,Vanvas
44,1.0,Pahlo vaar
45,3.0,Andheri Raat
46,1.0,साया
47,1.0,Ghar Aur Ghapla
48,0.0,अचंभा और असलियत
49,1.0,Pati Patni Aur Wo
50,0.0,Kuchakra
51,3.0,Kinnar Bahu
52,0.0,Doojvar
53,3.0,शिकारी
54,3.0,Raaz
55,1.0,भिखारी बना  C.M
56,0.0,झोलाछाप
57,1.0,बावला इश्क़
58,0.0,Chakravyuh
59,4.0,Saas Gari Deve
60,0.0,Tuition Teacher
61,3.0,Network Marketing
62,0.0,घर और घपला
63,0.0,Minzar
64,0.0,कालाबाजारी
65,1.0,Shortcut Ka Side Effect
66,1.0,Desperate Gharwaliyan
67,3.0,Dosti ri pukaar
68,2.0,Phirbe Bari
69,2.0,Kalabazari
70,1.0,Jagat
71,3.0,Episode 7
72,2.0,Episode 26
73,1.0,Mokhan Vahini 2
74,2.0,Mautana
75,1.0,मिंजर
76,4.0,Antim sangraam
77,0.0,CEO Se Pyaar
78,0.0,टटलूबाज
79,3.0,Dosti Mein Doubt
80,2.0,Game Palat Gaya
81,0.0,Batta
82,1.0,खैनी चूना
83,2.0,Khaini Chuna
84,2.0,Gangster Ka Punarjanam
85,1.0,Ghunghat
86,1.0,पुनर्जन्म
87,3.0,Chamatkari Gaay
88,2.0,Nikamme Ya Heroes
89,1.0,भोमिया
90,1.0,Khulaasa
91,4.0,Episode 12
92,3.0,Episode 9
93,1.0,SIT
94,0.0,Chudail
95,2.0,Episode 10
96,0.0,Viral Report
97,1.0,Mission Neha
98,1.0,Choti Chor
99,0.0,Saangi
100,1.0,Dhaakad Chhoriyan
101,0.0,Gawahi
102,1.0,Karma Ka Khel
103,3.0,12वीं आळा प्यार
104,2.0,Episode 8
105,0.0,Kaala Jaadu
106,1.0,Chidibaaz
107,0.0,Droupdi Manchan
108,0.0,Full Kalesh
109,0.0,Do Biwiyan
110,0.0,Jaanleva Ishq
111,1.0,Mokhan Vahini
112,0.0,31st
113,3.0,Episode 11
114,2.0,Episode 17
115,1.0,Tatlubaaz
116,1.0,Episode 18
117,3.0,Episode 13
118,1.0,Episode 14
119,0.0,Karz
120,1.0,DM Sahab Ka Swag
121,0.0,Bajri Mafia
122,1.0,Naagin Ka Badla
123,0.0,The Ghost Among Us!
124,0.0,Purana Paap
125,0.0,सांगी
126,0.0,Nuchwana
127,0.0,Rahashya Kaand
128,1.0,Grihapravesh
129,1.0,Right Swipe
130,1.0,पहलो वार
131,1.0,Episode 19
132,3.0,Episode 15
133,0.0,Maha-Sangram
134,1.0,Episode 16
135,1.0,Thomas
136,0.0,12vi Aala Pyaar
137,1.0,Dhanua
138,1.0,Muaavja
139,0.0,Bateu
140,1.0,Juwaari No.1
141,0.0,चुड़ैल
142,1.0,Rohtak Kabza
143,1.0,Episode 22
144,0.0,पुनर्जन्म  - जन्म के फेरा
145,0.0,Anda Gang
146,1.0,Aakhiri Daaw
147,1.0,Episode 20
148,1.0,Muklavo
149,0.0,Dada Lakhmi
150,0.0,Taalee Ek Goonj
